UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Teaching And Childcare Support Occupations,Outsourced,28,29.389551896806466,316.94546391300537,294.97645589270127,184,175.45986276421405,16.75001418204723
Teaching Professionals,Not outsourced,293,247.2462650414565,685.093919551139,675.1624996890195,334,280.2979009535578,88.20838978827116
Teaching Professionals,Outsourced,41,33.05163591210134,588.7775981074727,592.7411010439841,334,280.2979009535578,11.79161021172885
Textiles And Garments Trades,Not outsourced,5,6.475869277839121,479.3099447513812,497.24472038594456,6,7.288946135442483,88.8450697467803
Textiles And Garments Trades,Outsourced,1,0.8130768576033626,1289.134438305709,1289.134438305709,6,7.288946135442483,11.154930253219712
Therapy Professionals,Not outsourced,40,34.106365227656525,736.9124023941067,734.7894667856494,46,39.420708042971235,86.51890572457066
Therapy Professionals,Outsourced,6,5.3143428153147125,657.4549826069162,662.4912440426095,46,39.420708042971235,13.481094275429351
Transport Associate Professionals,Not outsourced,5,3.4461321281878563,713.7507673419276,697.4199255554321,7,5.162265902858161,66.75619181646294
Transport Associate Professionals,Outsourced,2,1.7161337746703045,881.4456721915285,930.1938282881197,7,5.162265902858161,33.243808183537055
Vehicle Trades,Not outsourced,30,30.969345965205164,611.8669838346634,583.1402802271645,33,33.071073183754244,93.64481700708302
Vehicle Trades,Outsourced,3,2.1017272185490765,756.2922038060159,772.187724856495,33,33.071073183754244,6.355182992916976
Veterinarians,Not outsourced,3,2.1943687814361565,806.6625741763863,786.5318811017264,3,2.1943687814361565,100
Veterinary Nurses,Not outsourced,7,5.721820433417004,494.6465842322196,491.1121835523072,8,6.835469134411042,83.70779416751776
Veterinary Nurses,Outsourced,1,1.1136487009940381,319,319,8,6.835469134411042,16.292205832482225
Web And Multimedia Design Professionals,Not outsourced,21,19.16907738615563,715.7185097488964,779.4368351516621,22,20.35408752785337,94.17802375038369
Web And Multimedia Design Professionals,Outsourced,1,1.1850101416977374,709.02394106814,709.02394106814,22,20.35408752785337,5.821976249616304
Welfare And Housing Associate Professionals,Not outsourced,84,72.61606221664978,531.9207698631939,525.0779943056158,94,83.12200977194937,87.36081143355011
Welfare And Housing Associate Professionals,Outsourced,10,10.505947555299592,479.5595457335789,486.4501429812697,94,83.12200977194937,12.6391885664499
Welfare Professionals,Not outsourced,50,39.60508415092086,653.0958470227133,656.0575604188949,55,44.21120062540974,89.58156211699534
Welfare Professionals,Outsourced,5,4.606116474488879,770.3437691835481,755.736829352608,55,44.21120062540974,10.418437883004655
NA,Not outsourced,1,0.8331552475741444,386.7403314917127,386.74033149171265,1,0.8331552475741444,100
